set,date,weight_class,fighter,opponent,result,kd_dif,str_dif,td_dif,sub_dif,td_avg_dif,td_def_dif,sub_avg_dif,slpm_dif,str_acc_dif,sapm_dif,str_def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,method,method_pred
validation,2023-04-15,Featherweight,Max Holloway,Arnold Allen,0.8888888888888888,0.0042097875104341,2.592348657776445,0.0031957046163765,-0.0087521302944049,-0.4690708760172615,0.2776534299151701,0.0,2.382163313843189,0.5562898018057932,1.2227417735154702,-0.1946808138369412,-1.880897177516757,-0.6668136048656139,-5.55923178969643,1.001956516068944,decision,decision
validation,2023-04-15,Featherweight,Edson Barboza,Billy Quarantillo,0.65,1.3500788545962257,0.0530213629621726,0.0031957046163765,-0.0087521302944049,-0.6316625650189321,0.5885608704767159,-1.1,-2.4351354398314453,-1.1793157666044374,-1.048464410263259,1.5462829954964872,0.2322519901094404,-0.2955874886890792,-0.547693408402927,2.022101414754426,knockout,decision
validation,2023-04-15,Light Heavyweight,Azamat Murzakanov,Dustin Jacoby,1.0,1.3500788545962257,0.0898232078145533,0.0031957046163765,-0.0087521302944049,0.1981157098861457,0.795832497517746,0.0,-0.5596506385961384,0.8042334544358265,-0.5689875492433053,-0.1076326233702697,1.1593393261852534,0.4963615591541944,0.5659817874400735,-1.0383332813020203,decision,decision
test,2023-04-15,Light Heavyweight,Tanner Boser,Ion Cutelaba,0.8,0.0042097875104341,-0.940628448052108,-0.3897530514819292,-0.0087521302944049,-2.661255372557028,-0.5514330782489513,0.0,-0.302477137423404,0.6389376860158047,-0.5122073946488368,1.023993852696459,-1.880897177516757,0.1251354429776599,0.0091441895185732,-2.0584781799875027,knockout,decision
train,2023-04-15,Bantamweight,Pedro Munhoz,Chris Gutierrez,0.625,1.3500788545962257,-0.646213689233062,0.0031957046163765,-0.0087521302944049,0.074770290643499,0.2431081587416654,0.5,0.331047828880161,-1.2619636508144485,1.9861194075077653,-0.6299217661702989,0.2322519901094404,-1.1617817597676598,-3.3318813980104287,2.022101414754426,decision,decision
train,2023-04-15,Lightweight,Rafa Garcia,Clay Guida,0.4,0.0042097875104341,2.8499615717431106,0.0031957046163765,-0.0087521302944049,0.2541818095418941,0.3467439722621807,-0.3,0.9645727951837264,0.7215855702258154,0.7621916306936722,-0.0205844329035982,0.2322519901094404,-0.0481034112380562,0.0091441895185732,-0.0181883826165381,decision,decision
train,2023-04-15,Featherweight,TJ Brown,Bill Algeo,0.6,-1.3416592795753577,-0.6830155340854428,0.0031957046163765,-0.8696924549470987,1.493242611933936,-0.6550688917694666,1.4,-1.4566216304912851,-0.6834284613443717,-0.7393280130267099,0.1535119480297443,1.607200685518856,-0.2460906731988746,0.5659817874400735,-1.0383332813020203,submission,knockout
train,2023-04-15,Flyweight,Matheus Nicolau,Brandon Royval,0.25,-1.3416592795753577,-0.4254026201187774,0.0031957046163765,-0.0087521302944049,0.4616263782681637,1.866735903896403,-1.4,0.117781998639357,1.2174728754858817,0.3268771121360825,1.3721866145631452,-1.880897177516757,0.471613151409092,1.1228193853615738,-0.0181883826165381,knockout,knockout
test,2023-04-15,Light Heavyweight,Ed Herman,Zak Cummings,0.5454545454545454,-4.033397413746941,-1.713467189952104,0.0031957046163765,-0.0087521302944049,0.7531700964780559,-0.2405256376874058,0.4,0.2055973405032176,1.0521771070658597,0.509835388051591,-1.1522109089703276,-1.880897177516757,-0.3203358964341816,-0.547693408402927,1.001956516068944,knockout,knockout
test,2023-04-15,Women's Strawweight,Gillian Robertson,Piera Rodriguez,0.4,0.0042097875104341,0.4946435011907417,0.3961444607146823,0.8521881943582889,-0.3793651165680639,-1.4150648575865776,1.0,-0.7290087979050124,0.2256982649657493,-0.1021285003554552,-0.6299217661702979,0.2322519901094404,-1.1122849442774552,-0.547693408402927,-0.0181883826165381,submission,decision
test,2023-04-15,Lightweight,Daniel Zellhuber,Lando Vannata,1.0,1.3500788545962257,0.9730674842716918,0.0031957046163765,-0.0087521302944049,-0.4242179962926626,0.7612872263442413,-0.3,0.5631312323775073,-0.4354848087143385,0.0555941512958454,-0.1946808138369412,0.900829500869146,-0.988542905551944,0.0091441895185732,-0.0181883826165381,decision,knockout
test,2023-04-15,Women's Strawweight,Bruna Brasil,Denise Gomes,1.0,-1.3416592795753577,-1.4558542759854387,-1.1756505636785408,-0.0087521302944049,0.3102479091976428,-0.1714350953403955,-1.2,-0.9422746281458164,2.457191138636047,0.6991025700331522,-1.1522109089703276,0.2322519901094404,0.0013934042521483,0.0091441895185732,-1.0383332813020203,knockout,knockout
